AEEIID_ISignalHandler,0x01041078,system,componentservices
AEEIID_IDisplayDev1,0x010747db,ui,display
AEECLSID_OATBACKGROUND,0x01051731,system,brewcore
AEECLSID_RESCTL_SOUND,0x0101e449,deprecated,headers
AEECLSID_CAMERA,0x01002013,system,brewcore
AEECLSID_AEEDIB,0x01001023,system,brewcore
AEECLSID_OATDEVICEUNLOADUSER,0x0104556c,system,brewcore
AEECLSID_TestLogMgr,0x01041de5,testframeworks,uitf
AEECLSID_VerifyModSigTest,0x01076067,security,modulemanager
AEEIID_SETDATA,0x0102d080,system,brewcore
AEECLSID_ACQUISITIONHANDLER,0x01080c8c,apps,softkeyappsuite
AEECLSID_OEMFilePort1,0x0105f935,system,componentservices
AEECLSID_ARRAYMODEL,0x010551c1,ui,widgets
AEECLSID_OATFILEAPP,0x010747d6,system,brewcore
AEECLSID_OATNETUTILS2,0x0106ef35,system,brewcore
AEECLSID_CallHistoryShimService,0x0108d3a7,deprecated,callhistoryshim
AEECLSID_OATCONTENTTHUMBNAILAPP_USER,0x0107ecd4,media,contentdrm
AEECLSID_FDNDeviceTest,0x01076e44,databases,icontacts
AEEIID_IvProperty,0x0105d01d,databases,vcard
AEECLSID_BATTERY,0x0102a188,hardware,battery
AEEIID_IController,0x01015953,ui,widgets
AEECLSID_ContentPreviewFactory0,0x01071122,media,contentdrm
AEEIID_RANDOMPORT,0x0102acbf,system,brewcore
AEECLSID_MEMREGIONTEST,0x01031dc9,system,componentservices
AEECLSID_HMACSHA256,0x0102a50e,deprecated,legacybrewcrypto
AEECLSID_CORENOTIFIER,0x01000004,system,brewcore
AEECLSID_OATAPPHISTPL,0x01034cc0,system,brewcore
AEEIID_SQLCACHESUBSET,0x010466e5,apps,softkeyappsuite
AEECLSID_ACTORFRAMECACHEMODEL,0x01034ce1,languages,platformactors
AEECLSID_RemoteControl_AVRCP_1_0_Target,0x01063575,connectivity,bluetooth
AEECLSID_GROUPS,0x01000800,system,brewcore
AEECLSID_OATBATTERY,0x0102f4d0,system,brewcore
AEECLSID_ScrollbarWidget,0x010551dc,ui,widgets
AEECLSID_OATAPPACM,0x01075769,system,concurrency
AEECLSID_SoftkeyTC,0x0105660c,ui,widgets
AEECLSID_LocaleUK,0x010311f7,system,locales
AEECLSID_OATRSAAppUser,0x0107deb5,deprecated,legacybrewcrypto
AEECLSID_OATVCALSTOREAPPUSER,0x010903f7,databases,vcard
AEEIID_IvCalObject,0x0105ccc5,databases,vcard
AEECLSID_ActorFrameLoader,0x01034cdd,languages,platformactors
AEECLSID_MSGDISPLAYACTOR,0x0103d83e,apps,softkeyappsuite
AEEIID_IOEMNetAttachment,0x0104604e,system,brewcore
AEECLSID_UTFrameWidget,0x0103623d,ui,widgets
AEEIID_GLES10EXT,0x0103d8de,system,brewcore
AEECLSID_SQLMGR,0x0102c4e8,deprecated,isqldbcshim
AEECLSID_DONOTHINGAPP,0x0102387b,tools,communication
AEECLSID_ADNDeviceTest,0x01074b43,databases,icontacts
AEECLSID_OEMLOCALE,0x0102ce50,system,locales
AEECLSID_Display1RequestBacklightOn,0x0108c2f7,apps,softkeyappsuite
AEECLSID_LOGGER_FILE,0x0100200e,system,brewcore
AEECLSID_OEMDisplayDev1_1,0x0108ae21,system,brewcore
AEEIID_IWindowWidget,0x0103de9e,ui,wm
AEECLSID_FRAMEWIDGETVERSION,0x01056f28,ui,widgets
AEECLSID_GWTEST_SERVICE,0x01046b46,system,componentservices
AEECLSID_IMAGEWIDGET_1,0x01028e19,ui,widgets
AEEIID_HEAP1FACTORY,0x01028acb,system,brewcore
AEEIID_IBitmap,0x01001021,ui,display
AEECLSID_LuaResFile,0x01085921,apps,mam
AEEIID_ISockPort,0x01039ba8,networking,networking
AEECLSID_OATAEECARD,0x0103ca01,telephony,staticextensions
AEECLSID_CALCULATORACTOR,0x01032f6b,apps,softkeyappsuite
AEECLSID_PROPCONTAINER,0x0105522d,ui,widgets
AEEIID_GLES11EXTPAK,0x0103def1,system,brewcore
AEECLSID_MBOXACTOR,0x01032f84,apps,softkeyappsuite
AEEIID_IA1DiagHandler,0x010891a3,system,componentservices
AEECLSID_MODMODLOADER,0x0103c8dc,system,brewcore
AEECLSID_PDPSettingsService,0x01070caa,system,brewcore
AEECLSID_WEBENG,0x01005005,system,brewcore
AEECLSID_OEMSOFTKEYTC,0x01057d69,ui,widgets
AEECLSID_HMACSHA384,0x0102a510,deprecated,legacybrewcrypto
AEECLSID_FrameWidget,0x01035392,ui,widgets
AEECLSID_WindowManager,0x01061019,ui,wm
AEECLSID_FONTSYSBOLD,0x01012788,system,brewcore
AEECLSID_OATVOBJECTPARSERAPPUSER,0x010903f4,databases,vcard
AEECLSID_COREAPP,0x01000002,system,brewcore
AEECLSID_OATRMCPERF,0x0103bb15,system,brewcore
AEEIID_IACMSingleton,0x0108a0b2,system,concurrency
AEECLSID_TRANSFORM,0x01001029,system,brewcore
AEECLSID_Touchscreen,0x0108acb4,hardware,touchscreen
AEECLSID_TYPEFACE,0x01035156,ui,fonts
AEECLSID_LuaSignal,0x01073c38,apps,mam
AEECLSID_OATFMRDS,0x0102ca7f,hardware,fm
AEECLSID_QOSLIST,0x0102b6ca,deprecated,headers
AEECLSID_BTFETextLayout,0x0103bda6,ui,fonts
AEECLSID_WEBUTIL,0x01005001,system,brewcore
AEECLSID_PROGRESSDIALOG,0x01028e41,ui,widgets
AEECLSID_CONSTRAINTCONTAINER_1,0x01028e0e,ui,widgets
AEECLSID_FONT_STANDARD23B,0x0102f67e,ui,fonts
AEECLSID_CTFX509CHAIN,0x0108ea38,deprecated,legacybrewcrypto
AEECLSID_PREFS,0x0103cea0,system,brewcore
AEECLSID_DIBDisplayDev1Service,0x0103ce11,ui,display
AEECLSID_SHA1,0x01001034,system,brewcore
AEEIID_INetUtils2,0x0106efcb,system,brewcore
AEEIID_ISpinLock,0x0103fe00,system,componentservices
AEECLSID_OEMROOTTC,0x010710a0,ui,widgets
AEEIID_IAppletFactory,0x0106c636,languages,platformactors
AEECLSID_FLASHEXT,0x01082938,tools,multi-platform-samplecode
AEECLSID_CTGSECUREFILE_INTERNAL,0x0108a798,security,modulemanager
AEECLSID_NetList,0x01035f32,system,brewcore
AEECLSID_OATMediaQCPApp,0x0108aaa3,media,multimedia
AEECLSID_ASD4,0x0103f616,system,brewcore
